device_name,model_code,version,region_code,file_size,chipset,build_date,build_date_raw,filename,url,scraped_at,note
Tecno Pop 20 KN3,KN3,15.1.2.134SP23,OP001PF001AZ,6.34 GB,,2025-12-01,011225,Tecno_Pop_20_KN3_15.1.2.134SP23_OP001PF001AZ_011225_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454447+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.145SP03,IN001PF001AZ,5.35 GB,,2025-12-25,251225,Tecno_Pop_20_KN3_15.1.2.145SP03_IN001PF001AZ_251225_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454497+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.145SP03,IN001PF001M1,5.35 GB,,2024-12-25,251224,Tecno_Pop_20_KN3_15.1.2.145SP03_IN001PF001M1_251224_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454540+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.145SP08,GTTG001PF001LC,5.52 GB,,2026-01-21,210126,Tecno_Pop_20_KN3_15.1.2.145SP08_GTTG001PF001LC_210126_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454579+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,OPPJ001PF001PJ,6.48 GB,,2026-01-27,270126,Tecno_Pop_20_KN3_15.1.2.155SP03_OPPJ001PF001PJ_270126_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454621+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,RU001PF001AZ,5.45 GB,,2026-02-02,020226,Tecno_Pop_20_KN3_15.1.2.155SP03_RU001PF001AZ_020226_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454659+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,TR001PF001AZ,5.62 GB,,2026-02-05,050226,Tecno_Pop_20_KN3_15.1.2.155SP03_TR001PF001AZ_050226_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454696+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP09,ZAVC001PF001LC,5.54 GB,,2026-02-11,110226,Tecno_Pop_20_KN3_15.1.2.155SP09_ZAVC001PF001LC_110226_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454734+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,IN001PF001AZ,5.4 GB,,2026-02-05,050226,Tecno_Pop_20_KN3_15.1.2.155SP03_IN001PF001AZ_050226_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454771+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,IN001PF001M1,5.4 GB,,2026-02-05,050226,Tecno_Pop_20_KN3_15.1.2.155SP03_IN001PF001M1_050226_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454808+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,OP001PF001M1,6.48 GB,,2026-01-23,230126,Tecno_Pop_20_KN3_15.1.2.155SP03_OP001PF001M1_230126_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454849+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.155SP03,OP001PF001AZ,6.48 GB,,2026-01-22,220126,Tecno_Pop_20_KN3_15.1.2.155SP03_OP001PF001AZ_220126_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454886+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.170SP08,RU001PF001AZ,5.46 GB,,2021-05-26,260521,Tecno_Pop_20_KN3_15.1.2.170SP08_RU001PF001AZ_260521_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454923+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,IN001PF001AZ,5.63 GB,,2026-06-16,260616,Tecno_Pop_20_KN3_15.1.2.175SP07_IN001PF001AZ_260616_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.454960+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,IN001PF001M1,5.63 GB,,2026-06-16,260616,Tecno_Pop_20_KN3_15.1.2.175SP07_IN001PF001M1_260616_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455001+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,OP001PF001AZ,6.80 GB,,2026-06-16,260616,Tecno_Pop_20_KN3_15.1.2.175SP07_OP001PF001AZ_260616_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455038+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,OP001PF001M1,6.80 GB,,2025-06-26,260625,Tecno_Pop_20_KN3_15.1.2.175SP07_OP001PF001M1_260625_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455075+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,OPPJ001PF001PJ,6.80 GB,,2026-06-16,260616,Tecno_Pop_20_KN3_15.1.2.175SP07_OPPJ001PF001PJ_260616_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455114+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.175SP07,TR001PF001AZ,5.77 GB,,2026-06-18,260618,Tecno_Pop_20_KN3_15.1.2.175SP07_TR001PF001AZ_260618_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455166+00:00,
Tecno Pop 20 KN3,KN3,15.1.2.185SP08,IN001PF001AZ,5.63 GB,,2026-08-07,260807,Tecno_Pop_20_KN3_15.1.2.185SP08_IN001PF001AZ_260807_SPD.zip,https://naijarom.com/tecno-pop-20-kn3,2026-09-22T00:58:41.455205+00:00,
Tecno Pop BD1,BD1,,,,,,,,https://naijarom.com/tecno-pop-bd1,2026-09-22T00:58:46.572204+00:00,no firmware versions found on page
Tecno Pop Mini 2 SA2S,SA2S,,,,,,,,https://naijarom.com/tecno-pop-mini-2-sa2s,2026-09-22T00:58:51.716183+00:00,no firmware versions found on page
Tecno Pop X KN3,KN3,15.1.2.175SP07,IN001PF001AZ,5.63 GB,,2026-06-16,260616,Tecno_Pop_X_KN3_15.1.2.175SP07_IN001PF001AZ_260616_SPD.zip,https://naijarom.com/tecno-pop-x-kn3,2026-09-22T00:58:56.258318+00:00,
Tecno Pop X KN3,KN3,15.1.2.175SP07,OP001PF001M1,6.80 GB,,2025-06-26,260625,Tecno_Pop_X_KN3_15.1.2.175SP07_OP001PF001M1_260625_SPD.zip,https://naijarom.com/tecno-pop-x-kn3,2026-09-22T00:58:56.258350+00:00,
Tecno Pop X KN3,KN3,15.1.2.175SP07,OPPJ001PF001PJ,6.80 GB,,2026-06-16,260616,Tecno_Pop_X_KN3_15.1.2.175SP07_OPPJ001PF001PJ_260616_SPD.zip,https://naijarom.com/tecno-pop-x-kn3,2026-09-22T00:58:56.258369+00:00,
Tecno Pop X KN3,KN3,15.1.2.175SP07,TR001PF001AZ,5.77 GB,,2026-06-18,260618,Tecno_Pop_X_KN3_15.1.2.175SP07_TR001PF001AZ_260618_SPD.zip,https://naijarom.com/tecno-pop-x-kn3,2026-09-22T00:58:56.258387+00:00,
Tecno Pop X KN3,KN3,15.1.2.185SP08,IN001PF001AZ,5.63 GB,,2026-08-07,260807,Tecno_Pop_X_KN3_15.1.2.185SP08_IN001PF001AZ_260807_SPD.zip,https://naijarom.com/tecno-pop-x-kn3,2026-09-22T00:58:56.258403+00:00,
Tecno Pouvoir 1 LA6,LA6,V165,,2 GB,MT6580,,190812,Tecno_Pouvoir_1_LA6_MT6580_V165_190812.zip,https://naijarom.com/tecno-pouvoir-1-la6,2026-09-22T00:58:59.867861+00:00,
Tecno Pouvoir 2 Air LB6,LB6,V144,,1 GB,MT6580,,190110,Tecno_Pouvoir_2_Air_LB6_MT6580_V144_190110.zip,https://naijarom.com/tecno-pouvoir-2-air-lb6,2026-09-22T00:59:05.185043+00:00,
Tecno Pouvoir 2 LA7,LA7,,,,,,,,https://naijarom.com/tecno-pouvoir-2-la7,2026-09-22T00:59:10.695372+00:00,no firmware versions found on page
Tecno Pouvoir 2 LA7 Pro,LA7,,,,,,,,https://naijarom.com/tecno-pouvoir-2-la7-pro,2026-09-22T00:59:15.691381+00:00,no firmware versions found on page
Tecno Pouvoir 3 Air LC6,LC6,V213,,1.05 GB,MT6761,,190615,Tecno_Pouvoir_3_Air_LC6_MT6761_V213_190615.zip,https://naijarom.com/tecno-pouvoir-3-air-lc6,2026-09-22T00:59:20.768234+00:00,
Tecno Pouvoir 3 Air LC6,LC6,V245,,1 GB,MT6761,,190802,Tecno_Pouvoir_3_Air_LC6_MT6761_V245_190802.zip,https://naijarom.com/tecno-pouvoir-3-air-lc6,2026-09-22T00:59:20.768287+00:00,
Tecno Pouvoir 3 Air LC6A,LC6A,V109,,1 GB,MT6761,2021-11-19,191121,Tecno_Pouvoir_3_Air_LC6A_MT6761_V109_191121.zip,https://naijarom.com/tecno-pouvoir-3-air-lc6a,2026-09-22T00:59:25.631853+00:00,
