phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia 8.3 5G,2021-03-01,Monthly,Nov-23,Mar-21,00WW_2_210 ,MR Update and SP (Android 11),,"March 08, 2021"
Nokia 2.4,2021-02-01,Monthly,Oct-23,Feb-21,00WW_1_130_SP02,SP Only (Android 10),,"March 08, 2021"
Nokia 5.3,2021-02-01,Monthly,Jun-23,Feb-21,00WW_1_290_SP05,SP Only (Android 10),,"March 04, 2021"
Nokia 2.3,2021-02-01,Monthly,Dec-22,Feb-21,00WW_2_340_SP03,SP Only (Android 10),,"March 04, 2021"
Nokia 1 Plus,2021-02-01,Monthly,Feb-22,Feb-21,00WW_2_140_SP05,SP Only (Android 10 GO),Monthly to Quarterly SPs after Feb-21,"March 04, 2021"
Nokia 5.1 Plus,2021-02-01,Monthly,Oct-21,Feb-21,00WW_3_260_SP04,SP Only (Android 10),,"March 03, 2021"
Nokia 1.4,2021-02-01,Monthly,Apr-24,Feb-21,00WW_1_060,MR Update and SP (Android 10 GO),,"March 02, 2021"
Nokia 9 Pureview,2021-02-01,Monthly,Mar-22,Feb-21,00RU_5_25A_SP09,SP Only (Android 10),,"March 01, 2021"
Nokia 9 Pureview,2021-02-01,Monthly,Mar-22,Feb-21,00WW_5_25A_SP09,SP Only (Android 10),,"March 01, 2021"
Nokia 9 Pureview,2021-02-01,Monthly,Mar-22,Feb-21,00WW_5_26A_SP04,SP Only (Android 10),,"March 01, 2021"
Nokia 7.1,2021-02-01,Monthly,Nov-21,Feb-21,00WW_4 _16B_SP04,SP Only (Android 10),,"March 01, 2021"
Nokia 7 Plus,2021-02-01,Monthly,Apr-21,Feb-21,00WW_4 _16B_SP04,SP Only (Android 10),,"March 01, 2021"
Nokia 6.2,2021-02-01,Monthly,Oct-22,Feb-21,00WW_2_400_SP01,SP Only (Android 10),,"March 01, 2021"
Nokia 6.1,2021-02-01,Monthly,Apr-21,Feb-21,00WW_4 _16B_SP04,SP Only (Android 10),,"March 01, 2021"
Nokia 5.4,2021-02-01,Monthly,Jan-24,Feb-21,00WW_1_160,MR Update and SP (Android 10),,"March 01, 2021"
Nokia 2.1,2021-02-01,Quarterly,Aug-21,Feb-21,00WW_4_11F_SP01,SP Only (Android 10 GO),,"February 26, 2021"
Nokia 8.1,2021-02-01,Monthly,Dec-21,Feb-21,00WW_4_31A_SP04,SP Only (Android 10),,"February 25, 2021"
Nokia 8 Sirocco,2021-02-01,Monthly,May-21,Feb-21,00WW_5_140_SP07,SP Only (Android 10),,"February 24, 2021"
Nokia C1,2021-02-01,Quarterly,Dec-21,Feb-21,00WW_1_130,MR Update and SP (Pie 9 GO),,"February 24, 2021"
Nokia 4.2,2021-02-01,Monthly,Apr-22,Feb-21,00WW_2_330_SP07,SP Only (Android 10),,"February 24, 2021"
Nokia 3.2,2021-02-01,Monthly,Apr-22,Feb-21,00WW_2_310_SP08,SP Only (Android 10),,"February 24, 2021"
Nokia 2.4,2021-02-01,Monthly,Oct-23,Feb-21,00WW_1_150,MR Update and SP (Android 10),,"February 23, 2021"
Nokia 3.4,2021-02-01,Monthly,Nov-23,Feb-21,00WW_1_340_SP01,SP Only (Android 10),,"February 23, 2021"
Nokia 7.1,2021-02-01,Monthly,Nov-21,Feb-21,00WW_4 _15C_SP09,SP Only (Android 10),,"February 22, 2021"
Nokia 7 Plus,2021-02-01,Monthly,Apr-21,Feb-21,00WW_4 _15D_SP09,SP Only (Android 10),,"February 22, 2021"
Nokia 6.1 Plus,2021-02-01,Monthly,Aug-21,Feb-21,00WW_4 _15C_SP09,SP Only (Android 10),,"February 22, 2021"
Nokia 6.1,2021-02-01,Monthly,Apr-21,Feb-21,00WW_4 _15C_SP09,SP Only (Android 10),,"February 22, 2021"
Nokia 7.2,2021-02-01,Monthly,Sep-22,Feb-21,00WW_2_410_SP01,SP Only (Android 10),,"February 18, 2021"
Nokia 7.2,2021-02-01,Monthly,Sep-22,Feb-21,00WW_2_400_SP01,SP Only (Android 10),,"February 18, 2021"
Nokia 3.1 Plus,2021-02-01,Monthly,Oct-21,Feb-21,00WW_3_15P_SP03,SP Only (Android 10),,"February 17, 2021"
Nokia 3.4,2021-02-01,Monthly,Nov-23,Feb-21,00WW_1_330_SP01,SP Only (Android 10),,"February 16, 2021"
Nokia 5.4,2021-02-01,Monthly,Jan-24,Feb-21,00WW_1_150_SP01,SP Only (Android 10),,"February 15, 2021"
Nokia 2.2,2021-02-01,Monthly,Jun-22,Feb-21,00WW_2_400_SP06,SP Only (Android 10),,"February 15, 2021"
Nokia 2.2,2021-02-01,Monthly,Jun-22,Feb-21,00WW_2_420_SP03,SP Only (Android 10),,"February 15, 2021"
Nokia 1.3,2021-02-01,Monthly,Jun-23,Feb-21,00WW_1_180_SP04,SP Only (Android 10 GO),Monthly to Quarterly SPs after Jun-22,"February 15, 2021"
Nokia 1.3,2021-02-01,Monthly,Jun-23,Feb-21,00WW_1_200_SP02,SP Only (Android 10 GO),Monthly to Quarterly SPs after Jun-22,"February 15, 2021"
Nokia 8.3 5G,2021-01-01,Monthly,Nov-23,Jan-21,00WW_2_200,MR Update and SP (Android 11),,"February 11, 2021"
Nokia C1 Plus,2021-01-01,Quarterly,Jan-23,Jan-21,00WW_1_140,MR Update and SP (Android 10 GO),,"February 09, 2021"
Nokia 8.1,2021-02-01,Monthly,Dec-21,Feb-21,00WW_5_30B_SP11,SP Only (Android 10),,"February 08, 2021"
Nokia 8.1,2021-02-01,Monthly,Dec-21,Feb-21,00WW_4_30B_SP11,SP Only (Android 10),,"February 08, 2021"
Nokia 5.3,2021-01-01,Monthly,Jun-23,Jan-21,00WW_1_290_SP04,SP Only (Android 10),,"February 04, 2021"
Nokia 3.4,2020-12-01,Monthly,Nov-23,Dec-20,00WW_1_340,MR Update and SP (Android 10),,"February 03, 2021"
Nokia 5.1,2021-01-01,Monthly,Aug-21,Jan-21,00WW_3_25B_SP17,SP Only (Pie 9),,"February 02, 2021"
Nokia 3.1,2021-01-01,Monthly,Jul-21,Jan-21,00WW_3_25B_SP17,SP Only (Pie 9),,"February 02, 2021"
Nokia 8.3 5G,2021-01-01,Monthly,Nov-23,Jan-21,00WW_2_180,MR Upgrade and SP (Android 11),,"February 02, 2021"
Nokia 5.1 Plus,2021-01-01,Monthly,Oct-21,Jan-21,00WW_3_260_SP03,SP Only (Android 10),,"February 01, 2021"
Nokia 1 Plus,2021-01-01,Monthly,Feb-22,Jan-21,00WW_2_140_SP04,SP Only (Android 10 GO),Monthly to Quarterly SPs after Feb-21,"February 01, 2021"
