phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
HMD Aura,2026-06-01,Quarterly,Aug-26,Jun-26,00WW_1_160_SP04,SP Only (Android 13),Estimated,"July 06, 2026"
HMD Arc,2026-05-01,Quarterly,Feb-27,May-26,00WW_1_390,SP Only (Android 15) ,Estimated   -  4GB Variant ,"July 06, 2026"
HMD Crest Max 5G,2026-05-01,Quarterly,Oct-26,May-26,00WW_1_590_SP03,SP Only (Android 14),Estimated,"July 02, 2026"
HMD Crest 5G,2026-05-01,Quarterly,Oct-26,May-26,00WW_1_590_SP03,SP Only (Android 14),Estimated,"July 02, 2026"
HMD Pulse Pro,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
HMD Pulse+,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
HMD Pulse,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
Nokia G22,2026-05-01,Final guaranteed Security Patch Update,Apr-26,May-26,00WW_3_610_SP08,SP Only (Android 14),,"June 15, 2026"
HMD XR21,2026-06-01,Quarterly,Mar-27,Jun-26,00WW_3_340_SP02,SP Only (Android 14),Estimated,"June 15, 2026"
Nokia XR21,2026-06-01,Quarterly,Mar-27,Jun-26,00WW_3_340_SP02,SP Only (Android 14),Estimated,"June 15, 2026"
HMD T21,2026-05-01,Quarterly,Mar-27,May-26,00WW_3_550_SP04,SP Only (Android 14),Estimated,"June 05, 2026"
Nokia T21,2026-05-01,Final guaranteed Security Patch Update,Mar-26,May-26,00WW_3_550_SP04,SP Only (Android 14),,"June 05, 2026"
Nokia G42 5G,2026-05-01,Quarterly,Aug-26,May-26,00WW_3_250_SP04,SP Only (Android 15),,"May 28, 2026"
HMD Arc,2026-05-01,Quarterly,Feb-27,May-26,00WW_1_370,SP Only (Android 15) ,Estimated   -  4GB Variant ,"May 27, 2026"
HMD Arc,2026-04-01,Quarterly,Feb-27,Apr-26,00WW_1_190_SP04,SP (Android 14 GO),Estimated   -  2GB Variant ,"May 04, 2026"
HMD Key,2026-04-01,Quarterly,Mar-27,Apr-26,00WW_1_120_SP02,SP (Android 14 GO),Estimated,"April 23, 2026"
HMD Fusion X1,2026-04-01,Quarterly,Nov-27,Apr-26,00WW_2_830_SP02,SP Only (Android 15),Estimated,"April 20, 2026"
HMD Fuse,2026-04-01,Quarterly,Feb-28,Apr-26,00WW_2_830_SP02,SP Only (Android 15),Estimated,"April 20, 2026"
HMD Fusion,2026-04-01,Quarterly,Nov-27,Apr-26,00WW_2_830_SP02,SP Only (Android 15),Estimated,"April 20, 2026"
HMD Skyline,2026-04-01,Quarterly,Sep-27,Apr-26,00WW_2_420_SP02,SP Only (Android 15) ,Estimated,"April 20, 2026"
Nokia G22,2026-02-01,Quarterly,Apr-26,Feb-26,00WW_3_610_SP08,SP Only (Android 14),,"March 12, 2026"
HMD T21,2026-02-01,Quarterly,Mar-27,Feb-26,00WW_3_550_SP03,SP Only (Android 14),Estimated,"February 13, 2026"
Nokia T21,2026-02-01,Quarterly,Mar-26,Feb-26,00WW_3_550_SP03,SP Only (Android 14),,"February 13, 2026"
HMD Pulse Pro,2026-02-01,Quarterly,May-27,Feb-26,00WW_2_450_SP03,SP Only (Android 15) ,Estimated,"February 11, 2026"
HMD Pulse+,2026-02-01,Quarterly,May-27,Feb-26,00WW_2_450_SP03,SP Only (Android 15) ,Estimated,"February 11, 2026"
HMD Pulse,2026-02-01,Quarterly,May-27,Feb-26,00WW_2_450_SP03,SP Only (Android 15) ,Estimated,"February 11, 2026"
Nokia G42 5G,2026-02-01,Quarterly,Aug-26,Feb-26,00WW_3_250_SP03,SP Only (Android 15),,"February 11, 2026"
HMD Arc,2026-02-01,Quarterly,Feb-27,Feb-26,00WW_1_280_SP03,SP Only (Android 15) ,Estimated   -  4GB Variant ,"February 11, 2026"
Nokia X30 5G,2026-01-01,Final guaranteed Security Patch Update,Jan-26,Jan-26,00WW_3_240_SP03,SP Only (Android 14),,"February 06, 2026"
Nokia G60 5G,2026-01-01,Final guaranteed Security Patch Update,Dec-25,Jan-26,00WW_3_230_SP07,SP Only (Android 14),,"February 06, 2026"
HMD XR21,2026-02-01,Quarterly,Mar-27,Feb-26,00WW_3_340_SP01,SP Only (Android 14),Estimated,"February 05, 2026"
Nokia XR21,2026-02-01,Quarterly,Mar-27,Feb-26,00WW_3_340_SP01,SP Only (Android 14),Estimated,"February 05, 2026"
HMD Aura,2026-02-01,Quarterly,Aug-26,Feb-26,00WW_1_160_SP03,SP Only (Android 13),Estimated,"February 05, 2026"
HMD Fusion X1,2026-01-01,Quarterly,Nov-27,Jan-26,00WW_2_830_SP01,SP Only (Android 15),Estimated,"January 26, 2026"
HMD Fusion X1,2025-09-01,Quarterly,Nov-27,Sep-25,00WW_2_830,MR Update and SP (Android 15),Estimated,"January 26, 2026"
HMD Fuse,2026-01-01,Quarterly,Feb-28,Jan-26,00WW_2_830_SP01,SP Only (Android 15),Estimated,"January 22, 2026"
HMD Fusion,2026-01-01,Quarterly,Nov-27,Jan-26,00WW_2_830_SP01,SP Only (Android 15),Estimated,"January 22, 2026"
HMD Skyline,2026-01-01,Quarterly,Sep-27,Jan-26,00WW_2_420_SP01,SP Only (Android 15) ,Estimated,"January 15, 2026"
HMD Key,2025-12-01,Quarterly,Mar-27,Dec-25,00WW_1_120_SP01,SP (Android 14 GO),Estimated,"December 19, 2025"
HMD Fuse,2025-09-01,Quarterly,Feb-28,Sep-25,00WW_2_830,MR Update and SP (Android 15),Estimated,"December 06, 2025"
HMD Fusion,2025-09-01,Quarterly,Nov-27,Sep-25,00WW_2_830,MR Update and SP (Android 15),Estimated,"December 06, 2025"
HMD XR21,2025-10-01,Quarterly,Mar-27,Oct-25,00WW_3_340,MR Update and SP (Android 14) ,Estimated,"December 05, 2025"
Nokia XR21,2025-10-01,Quarterly,Mar-27,Oct-25,00WW_3_340,MR Update and SP (Android 14) ,Estimated,"December 05, 2025"
HMD Arc,2025-11-01,Quarterly,Feb-27,Nov-25,00WW_1_330,MR Update and SP (Android 14 GO),Estimated   -  4GB Variant ,"December 03, 2025"
HMD T21,2025-11-01,Quarterly,Mar-27,Nov-25,00WW_3_550_SP02,SP Only (Android 14),Estimated,"November 28, 2025"
Nokia T21,2025-11-01,Quarterly,Mar-26,Nov-25,00WW_3_550_SP02,SP Only (Android 14),,"November 28, 2025"
Nokia G22,2025-11-01,Quarterly,Apr-26,Nov-25,00WW_3_610_SP07,SP Only (Android 14),,"November 28, 2025"
HMD Key,2025-09-01,Quarterly,Mar-27,Sep-25,00WW_1_120,MR Update and SP (Android 14 GO),Estimated,"November 27, 2025"
HMD Arc,2025-09-01,Quarterly,Feb-27,Sep-25,00WW_1_190,MR Update and SP (Android 14 GO),Estimated   -  2GB Variant ,"November 27, 2025"
Nokia XR20,2025-11-01,Quarterly,Nov-25,Nov-25,00WW_4_200_SP04,SP Only (Android 14),,"November 25, 2025"
Nokia T10,2025-10-01,Quarterly,Dec-25,Oct-25,00WW_3_450,MR Upgrade and SP (Android 14),,"November 25, 2025"
Nokia G11 Plus,2025-10-01,Final guaranteed Security Patch Update,Oct-25,Oct-25,00WW_3_550,MR Update and SP (Android 14) ,,"November 25, 2025"
Nokia G42 5G,2025-11-01,Quarterly,Aug-26,Nov-25,00WW_3_250_SP02,SP Only (Android 15),,"November 17, 2025"
HMD Crest Max 5G,2025-10-01,Quarterly,Oct-26,Oct-25,00WW_1_590_SP01,SP Only (Android 14),Estimated,"November 07, 2025"
HMD Crest 5G,2025-10-01,Quarterly,Oct-26,Oct-25,00WW_1_590_SP01,SP Only (Android 14),Estimated,"November 07, 2025"
HMD Skyline,2025-09-01,Quarterly,Sep-27,Sep-25,00WW_2_420,SP Only (Android 15) ,Estimated,"November 04, 2025"
Nokia X30 5G,2025-10-01,Quarterly,Jan-26,Oct-25,00WW_3_240_SP02,SP Only (Android 14),,"November 04, 2025"
Nokia G60 5G,2025-10-01,Quarterly,Dec-25,Oct-25,00WW_3_230_SP06,SP Only (Android 14),,"November 04, 2025"
HMD Aura,2025-10-01,Quarterly,Aug-26,Oct-25,00WW_1_160_SP02,SP Only (Android 13),Estimated,"October 30, 2025"
HMD Pulse Pro,2025-09-01,Quarterly,May-27,Sep-25,00WW_2_450_SP02,SP Only (Android 15) ,Estimated,"September 29, 2025"
HMD Pulse+,2025-09-01,Quarterly,May-27,Sep-25,00WW_2_450_SP02,SP Only (Android 15) ,Estimated,"September 29, 2025"
HMD Pulse,2025-09-01,Quarterly,May-27,Sep-25,00WW_2_450_SP02,SP Only (Android 15) ,Estimated,"September 29, 2025"
Nokia C22,2025-08-01,Final guaranteed Security Patch Update,Jun-25,Aug-25,00WW_1_770,MR update and SP (Android 13 GO),,"September 25, 2025"
HMD Arc,2025-08-01,Quarterly,Feb-27,Aug-25,00WW_1_280,MR Update and SP (Android 14 GO),Estimated   -  4GB Variant ,"September 19, 2025"
Nokia G11 Plus,2025-08-01,Quarterly,Oct-25,Aug-25,00WW_3_500_SP09,SP Only (Android 14),,"August 29, 2025"
Nokia G22,2025-08-01,Quarterly,Apr-26,Aug-25,00WW_3_610_SP06,SP Only (Android 14),,"August 29, 2025"
HMD Fusion X1,2025-07-01,Quarterly,Nov-27,Jul-25,00WW_2_750,MR Update and SP (Android 15),Estimated,"August 29, 2025"
HMD Fusion,2025-07-01,Quarterly,Nov-27,Jul-25,00WW_2_750,MR Update and SP (Android 15),Estimated,"August 29, 2025"
Nokia T10,2025-08-01,Quarterly,Dec-25,Aug-25,00WW_3_400_SP08,SP Only (Android 14),,"August 26, 2025"
HMD T21,2025-08-01,Quarterly,Mar-27,Aug-25,00WW_3_550_SP01,SP Only (Android 14),Estimated,"August 26, 2025"
Nokia T21,2025-08-01,Quarterly,Mar-26,Aug-25,00WW_3_550_SP01,SP Only (Android 14),,"August 26, 2025"
Nokia XR20,2025-08-01,Quarterly,Nov-25,Aug-25,00WW_4_200_SP03,SP Only (Android 14),,"August 22, 2025"
Nokia C32,2025-05-01,Final guaranteed Security Patch Update,May-25,May-25,00WW_1_930,MR update and SP (Android 13),,"August 22, 2025"
HMD Fuse,2025-07-01,Quarterly,Feb-28,Jul-25,00WW_2_783,MR Update and SP (Android 15),Estimated,"August 22, 2025"
HMD Fuse,2025-07-01,Quarterly,Feb-28,Jul-25,00WW_2_750,Ramp Up Production (Android 15),Estimated,"August 20, 2025"
Nokia G42 5G,2025-08-01,Quarterly,Aug-26,Aug-25,00WW_3_250_SP01,SP Only (Android 15),,"August 18, 2025"
HMD Crest 5G,2025-06-01,Quarterly,Oct-26,Jun-25,00WW_1_590,MR Update and SP (Android 14),Estimated,"August 07, 2025"
HMD Crest Max 5G,2025-06-01,Quarterly,Oct-26,Jun-25,00WW_1_590,MR Update and SP (Android 14),Estimated,"August 07, 2025"
HMD Aura,2025-07-01,Quarterly,Aug-26,Jul-25,00WW_1_160_SP01,SP Only (Android 13),Estimated,"July 28, 2025"
Nokia X30 5G,2025-07-01,Quarterly,Jan-26,Jul-25,00WW_3_240_SP01,SP Only (Android 14),,"July 28, 2025"
HMD Skyline,2025-07-01,Quarterly,Sep-27,Jul-25,00WW_2_390_SP01,SP Only (Android 15) ,Estimated,"July 28, 2025"
Nokia G60 5G,2025-07-01,Monthly,Dec-25,Jul-25,00WW_3_230_SP05,SP Only (Android 14),,"July 23, 2025"
HMD Arc,2025-07-01,Quarterly,Feb-27,Jul-25,00WW_1_220_SP01 ,SP Only (Android 15) ,Estimated   -  4GB Variant ,"July 18, 2025"
HMD Arc,2025-06-01,Quarterly,Feb-27,Jun-25,00WW_1_180,MR Update and SP (Android 14 GO),Estimated   -  2GB Variant ,"July 11, 2025"
HMD Skyline,2025-04-01,Quarterly,Sep-27,Apr-25,00WW_2_390,MR Upgrade and SP (Android 15),Estimated,"July 07, 2025"
HMD Key,2025-06-01,Quarterly,Mar-27,Jun-25,00WW_1_09B,SP (Android 14 GO),Estimated,"July 03, 2025"
HMD Pulse Pro,2025-06-01,Quarterly,May-27,Jun-25,00WW_2_450_SP01,SP Only (Android 15) ,Estimated,"June 30, 2025"
HMD Pulse+,2025-06-01,Quarterly,May-27,Jun-25,00WW_2_450_SP01,SP Only (Android 15) ,Estimated,"June 30, 2025"
HMD Pulse,2025-06-01,Quarterly,May-27,Jun-25,00WW_2_450_SP01,SP Only (Android 15) ,Estimated,"June 30, 2025"
HMD T21,2025-05-01,Monthly,Mar-27,May-25,00WW_3_550,MR Update and SP (Android 14),Estimated,"June 18, 2025"
Nokia T21,2025-05-01,Monthly,Mar-26,May-25,00WW_3_550,MR Update and SP (Android 14),,"June 18, 2025"
Nokia G42 5G,2025-05-01,Monthly,Aug-26,May-25,00WW_3_250,MR Upgrade and SP (Android 15) ,,"June 09, 2025"
HMD Fusion,2025-05-01,Monthly,Nov-27,May-25,00WW_2_430_SP02,SP Only (Android 15),Estimated,"June 06, 2025"
Nokia XR20,2025-05-01,Monthly,Nov-25,May-25,00WW_4_200_SP02,SP Only (Android 14),,"June 04, 2025"
Nokia C02,2025-05-01,Quarterly,May-25,May-25,00WW_1_400_SP05, SP Only (Android 12 GO),,"May 30, 2025"
Nokia G11,2025-05-01,Monthly,May-25,May-25,00WW_3_530 _SP19,SP Only (Android 13),,"May 30, 2025"
Nokia T10,2025-05-01,Monthly,Dec-25,May-25,00WW_3_400_SP07,SP Only (Android 14),,"May 28, 2025"
HMD Arc,2025-04-01,Quarterly,Feb-27,Apr-25,00WW_1_220,MR Update and SP (Android 14 GO),Estimated   -  4GB Variant ,"May 28, 2025"
Nokia T21,2025-05-01,Monthly,Mar-26,May-25,00WW_3_530_SP01,SP Only (Android 14),,"May 22, 2025"
Nokia G22,2025-05-01,Monthly,Apr-26,May-25,00WW_3_610_SP04,SP Only (Android 14),,"May 22, 2025"
Nokia G11 Plus,2025-05-01,Monthly,Oct-25,May-25,00WW_3_500_SP07,SP Only (Android 14),,"May 22, 2025"
Nokia C32,2025-05-01,Quarterly,May-25,May-25,00WW_1_890,MR update and SP (Android 13),,"May 20, 2025"
Nokia C22,2025-05-01,Quarterly,Jun-25,May-25,00WW_1_720,MR update and SP (Android 13 GO),,"May 20, 2025"
Nokia G60 5G,2025-04-01,Monthly,Dec-25,Apr-25,00WW_3_230_SP04,SP Only (Android 14),,"May 19, 2025"
HMD XR21,2025-04-01,Monthly,Mar-27,Apr-25,00WW_3_240_SP02,SP Only (Android 14),Estimated,"May 19, 2025"
Nokia XR21,2025-04-01,Monthly,Mar-27,Apr-25,00WW_3_240_SP02,SP Only (Android 14),Estimated,"May 19, 2025"
Nokia X30 5G,2025-04-01,Monthly,Jan-26,Apr-25,00WW_3_240,MR Update and SP (Android 14) ,,"May 14, 2025"
HMD Aura,2025-04-01,Quarterly,Aug-26,Apr-25,00WW_1_160,MR Update and SP (Android 13),Estimated,"May 07, 2025"
Nokia XR20,2025-04-01,Monthly,Nov-25,Apr-25,00WW_4_200_SP01,MR Update and SP (Android 14),,"May 06, 2025"
Nokia G42 5G,2025-04-01,Monthly,Aug-26,Apr-25,00WW_2_350_SP07,SP Only (Android 14),,"May 06, 2025"
HMD T21,2025-04-01,Monthly,Mar-27,Apr-25,00WW_3_490_SP04,SP Only (Android 14),Estimated,"May 06, 2025"
Nokia T21,2025-04-01,Monthly,Mar-26,Apr-25,00WW_3_490_SP04,SP Only (Android 14),,"May 06, 2025"
HMD Fusion,2025-04-01,Monthly,Nov-27,Apr-25,00WW_2_430_SP01,SP Only (Android 15),Estimated,"May 06, 2025"
Nokia XR20,2025-03-01,Monthly,Nov-25,Mar-25,00WW_4_200,MR Update and SP (Android 14),,"April 28, 2025"
Nokia G11,2025-04-01,Monthly,May-25,Apr-25,00WW_3_530_SP18,SP Only (Android 13),,"April 28, 2025"
HMD Crest Max 5G,2025-04-01,Quarterly,Oct-26,Apr-25,00WW_1_560_SP01,SP Only (Android 14),Estimated,"April 22, 2025"
HMD Crest 5G,2025-04-01,Quarterly,Oct-26,Apr-25,00WW_1_560_SP01,SP Only (Android 14),Estimated,"April 22, 2025"
Nokia T10,2025-04-01,Monthly,Dec-25,Apr-25,00WW_3_400_SP06,SP Only (Android 14),,"April 21, 2025"
Nokia G22,2025-04-01,Monthly,Apr-26,Apr-25,00WW_3_610_SP03,SP Only (Android 14),,"April 17, 2025"
Nokia G11 Plus,2025-04-01,Monthly,Oct-25,Apr-25,00WW_3_500_SP06,SP Only (Android 14),,"April 17, 2025"
Nokia C12,2025-04-01,Final guaranteed Security Patch Update,Apr-25,Apr-25,00WW_1_600_SP02,SP Only (Android 12 GO),,"April 11, 2025"
HMD T21,2025-03-01,Monthly,Mar-27,Mar-25,00WW_3_530,MR Update and SP (Android 14),Estimated,"April 08, 2025"
Nokia T21,2025-03-01,Monthly,Mar-26,Mar-25,00WW_3_530,MR Update and SP (Android 14),,"April 08, 2025"
HMD Fusion,2025-02-01,Monthly,Nov-27,Feb-25,00WW_2_430,MR Upgrade and SP (Android 15),Estimated,"April 07, 2025"
Nokia C22,2025-02-01,Quarterly,Jun-25,Feb-25,00WW_1_580_SP03,SP Only (Android 13 GO),,"April 04, 2025"
HMD XR21,2025-03-01,Monthly,Mar-27,Mar-25,00WW_3_240_SP01,SP Only (Android 14),Estimated,"April 04, 2025"
Nokia XR21,2025-03-01,Monthly,Mar-27,Mar-25,00WW_3_240_SP01,SP Only (Android 14),Estimated,"April 04, 2025"
Nokia G11,2025-03-01,Monthly,May-25,Mar-25,00WW_3_530_SP17,SP Only (Android 13),,"March 31, 2025"
Nokia G21,2025-03-01,Final guaranteed Security Patch Update,Mar-25,Mar-25,00WW_3_530_SP17,SP Only (Android 13),,"March 31, 2025"
Nokia G42 5G,2025-03-01,Monthly,Aug-26,Mar-25,00WW_2_350_SP06,SP Only (Android 14),,"March 31, 2025"
HMD Skyline,2025-03-01,Quarterly,Sep-27,Mar-25,00WW_2_270_SP01,SP Only (Android 15) ,Estimated,"March 31, 2025"
Nokia T10,2025-03-01,Monthly,Dec-25,Mar-25,00WW_3_400_SP05,SP Only (Android 14),,"March 28, 2025"
Nokia G11 Plus,2025-03-01,Monthly,Oct-25,Mar-25,00WW_3_500_SP05,SP Only (Android 14),,"March 28, 2025"
Nokia G60 5G,2025-03-01,Monthly,Dec-25,Mar-25,00WW_3_230_SP03,SP Only (Android 14),,"March 28, 2025"
Nokia X30 5G,2025-03-01,Monthly,Jan-26,Mar-25,00WW_3_220_SP06,SP Only (Android 14),,"March 28, 2025"
Nokia G22,2025-03-01,Monthly,Apr-26,Mar-25,00WW_3_610_SP02,SP Only (Android 14),,"March 28, 2025"
Nokia XR20,2025-03-01,Monthly,Nov-25,Mar-25,00WW_4_170_SP07,SP Only (Android 14),,"March 28, 2025"
HMD Arc,2025-03-01,Quarterly,Feb-27,Mar-25,00WW_1_200,MR Update and SP (Android 14 GO),Estimated   -  4GB Variant ,"March 28, 2025"
HMD Pulse Pro,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_450,MR Update and SP (Android 15) ,Estimated,"March 27, 2025"
HMD Pulse+,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_450,MR Update and SP (Android 15) ,Estimated,"March 27, 2025"
HMD Pulse,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_450,MR Update and SP (Android 15) ,Estimated,"March 27, 2025"
Nokia C32,2025-02-01,Quarterly,May-25,Feb-25,00WW_1_790_SP02,SP Only (Android 13),,"March 20, 2025"
HMD Key,2025-03-01,Quarterly,Mar-27,Mar-25,00WW_1_090,MR Update and SP (Android 14 GO),Estimated,"March 17, 2025"
HMD T21,2025-03-01,Monthly,Mar-27,Mar-25,00WW_3_490_SP03,SP Only (Android 14),Estimated,"March 17, 2025"
Nokia T21,2025-03-01,Monthly,Mar-26,Mar-25,00WW_3_490_SP03,SP Only (Android 14),,"March 17, 2025"
Nokia C32,2025-02-01,Quarterly,May-25,Feb-25,00WW_1_740_SP03,SP Only (Android 13),,"March 14, 2025"
HMD Pulse Pro,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_370_SP01,SP Only (Android 15) ,Estimated,"March 14, 2025"
HMD Pulse+,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_370_SP01,SP Only (Android 15) ,Estimated,"March 14, 2025"
HMD Pulse,2025-03-01,Quarterly,May-27,Mar-25,00WW_2_370_SP01,SP Only (Android 15) ,Estimated,"March 14, 2025"
Nokia C02,2025-03-01,Quarterly,May-25,Mar-25,00WW_1_400_SP03, SP Only (Android 12 GO),,"March 13, 2025"
HMD Arc,2025-02-01,Quarterly,Feb-27,Feb-25,00WW_1_140,MR Update and SP (Android 14 GO),Estimated   -  2GB Variant ,"March 11, 2025"
HMD XR21,2025-02-01,Monthly,Mar-27,Feb-25,00WW_3_240,MR Update and SP (Android 14) ,Estimated,"March 06, 2025"
Nokia XR21,2025-02-01,Monthly,Mar-27,Feb-25,00WW_3_240,MR Update and SP (Android 14) ,Estimated,"March 06, 2025"
Nokia G60 5G,2025-02-01,Monthly,Dec-25,Feb-25,00WW_3_230_SP02,SP Only (Android 14),,"March 03, 2025"
HMD Fusion,2025-02-01,Monthly,Nov-27,Feb-25,00WW_1_660_SP01,SP Only (Android 14),Estimated,"March 03, 2025"
Nokia X30 5G,2025-02-01,Monthly,Jan-26,Feb-25,00WW_3_220_SP05,SP Only (Android 14),,"March 03, 2025"
Nokia XR20,2025-02-01,Monthly,Nov-25,Feb-25,00WW_4_170_SP06,SP Only (Android 14),,"February 28, 2025"
Nokia G11,2025-02-01,Monthly,May-25,Feb-25,00WW_3_530_SP16,SP Only (Android 13),,"February 28, 2025"
Nokia G21,2025-02-01,Monthly,Mar-25,Feb-25,00WW_3_530_SP16,SP Only (Android 13),,"February 28, 2025"
Nokia G11 Plus,2025-02-01,Monthly,Oct-25,Feb-25,00WW_3_500_SP04,SP Only (Android 14),,"February 28, 2025"
Nokia G42 5G,2025-02-01,Monthly,Aug-26,Feb-25,00WW_2_350_SP05,SP Only (Android 14),,"February 27, 2025"
Nokia G22,2025-02-01,Monthly,Apr-26,Feb-25,00WW_3_610_SP01,SP Only (Android 14),,"February 26, 2025"
HMD Pulse Pro,2025-01-01,Quarterly,May-27,Jan-25,00WW_2_410,MR Update and SP (Android 15) ,Estimated,"February 26, 2025"
HMD Pulse+,2025-01-01,Quarterly,May-27,Jan-25,00WW_2_410,MR Update and SP (Android 15) ,Estimated,"February 26, 2025"
Nokia T10,2025-02-01,Monthly,Dec-25,Feb-25,00WW_3_400_SP04,SP Only (Android 14),,"February 26, 2025"
Nokia C32,2025-02-01,Quarterly,May-25,Feb-25,00WW_1_820_SP01,SP Only (Android 13),,"February 21, 2025"
Nokia C22,2025-02-01,Quarterly,Jun-25,Feb-25,00WW_1_660_SP01,SP Only (Android 13 GO),,"February 21, 2025"
HMD Crest Max 5G,2025-01-01,Quarterly,Oct-26,Jan-25,00WW_1_560,MR Update and SP (Android 14),Estimated,"February 20, 2025"
HMD Crest 5G,2025-01-01,Quarterly,Oct-26,Jan-25,00WW_1_560,MR Update and SP (Android 14),Estimated,"February 20, 2025"
HMD T21,2025-02-01,Monthly,Mar-27,Feb-25,00WW_3_490_SP02,SP Only (Android 14),Estimated,"February 20, 2025"
Nokia T21,2025-02-01,Monthly,Mar-26,Feb-25,00WW_3_490_SP02,SP Only (Android 14),,"February 20, 2025"
Nokia G42 5G,2025-01-01,Monthly,Aug-26,Jan-25,00WW_2_350_SP04,SP Only (Android 14),,"February 13, 2025"
HMD Fusion,2025-01-01,Monthly,Nov-27,Jan-25,00WW_1_700,MR Update and SP (Android 14),Estimated,"February 11, 2025"
HMD Skyline,2024-12-01,Quarterly,Sep-27,Dec-24,00WW_2_270,MR Upgrade and SP (Android 15),Estimated,"February 10, 2025"
HMD XR21,2025-01-01,Monthly,Mar-27,Jan-25,00WW_3_210_SP04,SP Only (Android 14),Estimated,"February 07, 2025"
Nokia XR21,2025-01-01,Monthly,Mar-27,Jan-25,00WW_3_210_SP04,SP Only (Android 14),Estimated,"February 07, 2025"
Nokia X30 5G,2025-01-01,Monthly,Jan-26,Jan-25,00WW_3_220_SP04,SP Only (Android 14),,"February 07, 2025"
HMD Key,2024-12-01,Quarterly,Mar-27,Dec-24,00WW_1_060,MR Update and SP (Android 14 GO),Estimated,"February 04, 2025"
HMD Fusion,2025-01-01,Monthly,Nov-27,Jan-25,00WW_1_660,MR Update and SP (Android 14),Estimated,"February 03, 2025"
Nokia G22,2025-01-01,Monthly,Apr-26,Jan-25,00WW_3_610,MR Update and SP (Android 14) ,,"January 29, 2025"
HMD Aura,2025-01-01,Quarterly,Aug-26,Jan-25,00WW_1_120,MR Update and SP (Android 13),Estimated,"January 29, 2025"
HMD Arc,2025-01-01,Quarterly,Feb-27,Jan-25,00WW_1_140,MR Update and SP (Android 14 GO),Estimated   -  4GB Variant ,"January 24, 2025"
HMD T21,2025-01-01,Monthly,Mar-27,Jan-25,00WW_3_490_SP01,SP Only (Android 14),Estimated,"January 24, 2025"
Nokia T21,2025-01-01,Monthly,Mar-26,Jan-25,00WW_3_490_SP01,SP Only (Android 14),,"January 24, 2025"
HMD Crest Max 5G,2025-01-01,Quarterly,Oct-26,Jan-25,00WW_1_500_SP01,SP Only (Android 14),Estimated,"January 24, 2025"
HMD Crest 5G,2025-01-01,Quarterly,Oct-26,Jan-25,00WW_1_500_SP01,SP Only (Android 14),Estimated,"January 24, 2025"
Nokia G60 5G,2025-01-01,Monthly,Dec-25,Jan-25,00WW_3_230_SP01,SP Only (Android 14),,"January 24, 2025"
Nokia G11,2025-01-01,Monthly,May-25,Jan-25,00WW_3_530_SP15,SP Only (Android 13),,"January 22, 2025"
Nokia G21,2025-01-01,Monthly,Mar-25,Jan-25,00WW_3_530_SP15,SP Only (Android 13),,"January 22, 2025"
Nokia G11 Plus,2025-01-01,Monthly,Oct-25,Jan-25,00WW_3_500_SP03,SP Only (Android 14),,"January 20, 2025"
Nokia T10,2025-01-01,Monthly,Dec-25,Jan-25,00WW_3_400_SP03,SP Only (Android 14),,"January 20, 2025"
Nokia C12,2025-01-01,Quarterly,Apr-25,Jan-25,00WW_1_600_SP01,SP Only (Android 12 GO),,"January 17, 2025"
Nokia C02,2024-12-01,Quarterly,May-25,Dec-24,00WW_1_400_SP02, SP Only (Android 12 GO),,"January 17, 2025"
HMD T21,2024-12-01,Monthly,Mar-27,Dec-24,00WW_3_490,MR Update and SP (Android 14),Estimated,"January 15, 2025"
Nokia T21,2024-12-01,Monthly,Mar-26,Dec-24,00WW_3_490,MR Update and SP (Android 14),,"January 15, 2025"
HMD Aura,2025-01-01,Quarterly,Aug-26,Jan-25,00WW_1_100_SP01,SP Only (Android 13),Estimated,"January 13, 2025"
HMD XR21,2024-12-01,Monthly,Mar-27,Dec-24,00WW_3_210_SP03,SP Only (Android 14),Estimated,"January 09, 2025"
Nokia XR21,2024-12-01,Monthly,Mar-27,Dec-24,00WW_3_210_SP03,SP Only (Android 14),Estimated,"January 09, 2025"
Nokia C22,2024-12-01,Quarterly,Jun-25,Dec-24,00WW_1_580_SP02,SP Only (Android 13 GO),,"January 09, 2025"
Nokia XR20,2025-01-01,Monthly,Nov-25,Jan-25,00WW_4_170_SP05,SP Only (Android 14),,"January 09, 2025"
Nokia T10,2025-12-01,Quarterly,Dec-25,Dec-25,00WW_3_450_SP01,SP Only (Android 14),,"January 07, 2025"
HMD Arc,2025-12-01,Quarterly,Feb-27,Dec-25,00WW_1_190_SP03,SP (Android 14 GO),Estimated   -  2GB Variant ,"January 07, 2025"
