device_slug,source_url,filename,file_size,brand,device_name,model_code,chipset,build,market,date_token
tecno-al58,https://naijarom.com/tecno-al58,Tecno_AL58_MT6735M_V2.0_26012016_6.0.zip,,,,,,,,
tecno-b1p,https://naijarom.com/tecno-b1p,Tecno_B1P_MT6580_V82_181029.zip,,,,,,,,
tecno-b1p,https://naijarom.com/tecno-b1p,Tecno_B1P_MT6580_V87_181029.zip,,,,,,,,
tecno-b1p,https://naijarom.com/tecno-b1p,Tecno_B1P_MT6580_V148_190323.zip,,,,,,,,
tecno-b1p,https://naijarom.com/tecno-b1p,Tecno_B1P_MT6580_V158_190323.zip,,,,,,,,
tecno-b1p-f8017ab-go,https://naijarom.com/tecno-b1p-f8017ab-go,Tecno_B1p_F8017AB_GO_MT6580_V158_20190323.zip,,,,,,,,
tecno-b1p-f8017c-go,https://naijarom.com/tecno-b1p-f8017c-go,Tecno_B1p_F8017C_GO_MT6580_V148_20190323.zip,,,,,,,,
tecno-b3,https://naijarom.com/tecno-b3,Tecno_B3_MT6575_11032013.zip,,,,,,,,
tecno-b6s,https://naijarom.com/tecno-b6s,Tecno_B6S_150415_4.4.4_QFIL.zip,,,,,,,,
tecno-bc1,https://naijarom.com/tecno-bc1,Tecno_BC1_MT6580_V019_220920.zip,,,,,,,,
tecno-bc2c,https://naijarom.com/tecno-bc2c,Tecno_BC2C_V018_221011_SPD.zip,,,,,,,,
tecno-be6,https://naijarom.com/tecno-be6,Tecno_BE6_MT6580_V5_220311.zip,,,,,,,,
tecno-bf7,https://naijarom.com/tecno-bf7,Tecno_BF7_MT6761_V185_221009.zip,,,,,,,,
tecno-boom-j5,https://naijarom.com/tecno-boom-j5,Tecno_Boom_J5_MT6580_20150818.zip,,,,,,,,
tecno-boom-j5,https://naijarom.com/tecno-boom-j5,Tecno_Boom_J5_MT6580_20151014.zip,,,,,,,,
tecno-boom-j8,https://naijarom.com/tecno-boom-j8,Tecno_Boom_J8_MT6735_20160310.zip,,,,,,,,
tecno-boom-j8,https://naijarom.com/tecno-boom-j8,Tecno_Boom_J8_MT6735_V14_160721_5.1.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_V09_170407_SPD.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_MT6753_V28_160722.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_MT6735_V46_160901_6.0_MIRA.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_MT6753_V79_161026.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_MT6753_V88_161222.zip,,,,,,,,
tecno-c9,https://naijarom.com/tecno-c9,Tecno_Camon_C9_MT6753_V100_180905.zip,,,,,,,,
tecno-c9-clone,https://naijarom.com/tecno-c9-clone,Tecno_C9_Clone_20160601_5.1_MIRA.zip,,,,,,,,
tecno-c9-plus,https://naijarom.com/tecno-c9-plus,Tecno_C9_Plus_MT6753_V88_161222.zip,,,,,,,,
tecno-c9-pro,https://naijarom.com/tecno-c9-pro,Tecno_C9_Pro_MT6753_V88_161222.zip,,,,,,,,
tecno-ca7,https://naijarom.com/tecno-ca7,Tecno_CA7_MT6763_V229_181011_8.1.0.zip,,,,,,,,
tecno-camon-11-cb7,https://naijarom.com/tecno-camon-11-cb7,Tecno_Camon_11_CB7_MT6761_V169_190308.zip,,,,,,,,
tecno-camon-11-cf7,https://naijarom.com/tecno-camon-11-cf7,Tecno_Camon_11_CF7_MT6739_V154_190107.zip,,,,,,,,
tecno-camon-11-cf7,https://naijarom.com/tecno-camon-11-cf7,Tecno_Camon_11_CF7_MT6739_V170_190107.zip,,,,,,,,
tecno-camon-11-cf7,https://naijarom.com/tecno-camon-11-cf7,Tecno_Camon_11_CF7_MT6739_V250_200901.zip,,,,,,,,
tecno-camon-11-cf7k,https://naijarom.com/tecno-camon-11-cf7k,Tecno_Camon_11_CF7K_MT6761_V112_201103.zip,,,,,,,,
tecno-camon-11-cf7k,https://naijarom.com/tecno-camon-11-cf7k,Tecno_Camon_11_CF7K_MT6761_V332_201103.zip,,,,,,,,
tecno-camon-11-cf7s,https://naijarom.com/tecno-camon-11-cf7s,Tecno_Camon_11_CF7S_MT6739_V85_190321.zip,,,,,,,,
tecno-camon-11-cf7s,https://naijarom.com/tecno-camon-11-cf7s,Tecno_Camon_11_CF7S_MT6739_V103_190929.zip,,,,,,,,
tecno-camon-11-pro-cf8,https://naijarom.com/tecno-camon-11-pro-cf8,Tecno_Camon_11_Pro_CF8_MT6765_V150_181114.zip,,,,,,,,
tecno-camon-12-air-cc6,https://naijarom.com/tecno-camon-12-air-cc6,Tecno_Camon_12_Air_CC6_MT6761_P_V244_210831.zip,,,,,,,,
tecno-camon-12-cc7,https://naijarom.com/tecno-camon-12-cc7,Tecno_Camon_12_CC7_MT6765_V427_210719.zip,,,,,,,,
tecno-camon-15-air-cd6s,https://naijarom.com/tecno-camon-15-air-cd6s,Tecno_Camon_15_Air_CD6S_MT6765_ZAVC_V73_201216.zip,,,,,,,,
tecno-camon-15-cd7,https://naijarom.com/tecno-camon-15-cd7,Tecno_Camon_15_CD7_MT6765_V163_211229.zip,,,,,,,,
tecno-camon-15-cd7,https://naijarom.com/tecno-camon-15-cd7,Tecno_Camon_15_CD7_MT6765_V787_211201.zip,,,,,,,,
tecno-camon-15-pro-cd8,https://naijarom.com/tecno-camon-15-pro-cd8,Tecno_Camon_15_Pro_CD8_MT6765_V219_200114.zip,,,,,,,,
tecno-camon-16-ce7,https://naijarom.com/tecno-camon-16-ce7,Tecno_Camon_16_CE7_MT6768_V303_200922.zip,,,,,,,,
tecno-camon-16-premier-ce9,https://naijarom.com/tecno-camon-16-premier-ce9,Tecno_Camon_16_Premier_CE9_MT6785_V439_220218.zip,,,,,,,,
tecno-camon-16-premier-ce9,https://naijarom.com/tecno-camon-16-premier-ce9,Tecno_Camon_16_Premier_CE9_MT6785_V485_230111.zip,,,,,,,,
tecno-camon-16-premier-ce9h,https://naijarom.com/tecno-camon-16-premier-ce9h,Tecno_Camon_16_Premier_CE9H_MT6785_V182_201111.zip,,,,,,,,
tecno-camon-16-pro-ce8,https://naijarom.com/tecno-camon-16-pro-ce8,Tecno_Camon_16_Pro_CE8_MT6768_V325_201201.zip,,,,,,,,
tecno-camon-16s-cd6j,https://naijarom.com/tecno-camon-16s-cd6j,Tecno_Camon_16S_CD6J_MT6765_V091_201215.zip,,,,,,,,
tecno-camon-16-se-ce7j,https://naijarom.com/tecno-camon-16-se-ce7j,Tecno_Camon_16_SE_CE7J_MT6768_V435_230111.zip,,,,,,,,
tecno-camon-17,https://naijarom.com/tecno-camon-17,Tecno_Camon_17_MT6768_4G_12_130521.zip,,,,,,,,
tecno-camon-17,https://naijarom.com/tecno-camon-17,Tecno_Camon_17_MT6768_6G_12_130521.zip,,,,,,,,
