source_url,outcome,detail
https://naijarom.com/tecno-pop-5s-a571ls,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-6-be7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-6-go-be6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-6-pro-be8i,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-7-pro-bf7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-7-pro-bf7h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-7-pro-bf7s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-8-bg6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-9-4g-kl4h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-9-5g-kl8h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pop-9-kl4,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pouvoir-4-lc7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pouvoir-4-pro-lc8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-3-lf7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-3-lf7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-4-lg7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-4-pro-lg8n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-5g-le8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-5-lh7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-6-neo-5g-kl8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-ld7j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-neo-2-lg6n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-neo-3-lh6n,no_firmware_listed,"page fetched, zero firmware filenames"
