bulletin_month,cve,tier,section,type,severity,component,references,updated_aosp_versions
2017-08,CVE-2017-0735,01,Media Framework,DoS,High,,A-38239864 [ 2 ],"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0736,01,Media Framework,DoS,High,,A-38487564,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0687,01,Media Framework,DoS,High,,A-35583675,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0737,01,Media Framework,EoP,High,,A-37563942,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0805,01,Media Framework,EoP,High,,A-37237701,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0738,01,Media Framework,ID,Moderate,,A-37563371 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0739,01,Media Framework,ID,Moderate,,A-37712181,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-08,CVE-2017-0740,05,Broadcom,RCE,Moderate,Networking driver,A-37168488 * B-RB#116402,
2017-08,CVE-2017-10661,05,Kernel,EoP,High,File system,A-36266767 Upstream kernel,
2017-08,CVE-2017-0750,05,Kernel,EoP,Moderate,File system,A-36817013 *,
2017-08,CVE-2017-10662,05,Kernel,EoP,Moderate,File system,A-36815012 Upstream kernel,
2017-08,CVE-2017-10663,05,Kernel,EoP,Moderate,File System,A-36588520 Upstream kernel,
2017-08,CVE-2017-0749,05,Kernel,EoP,Moderate,Linux kernel,A-36007735 *,
2017-08,CVE-2017-0741,05,MediaTek,EoP,High,GPU driver,A-32458601 * M-ALPS03007523,
2017-08,CVE-2017-0742,05,MediaTek,EoP,Moderate,Video driver,A-36074857 * M-ALPS03275524,
2017-08,CVE-2017-0746,05,Qualcomm,EoP,Moderate,IPA driver,A-35467471 * QC-CR#2029392,
2017-08,CVE-2017-0747,05,Qualcomm,EoP,Moderate,Proprietary Component,A-32524214 * QC-CR#2044821,
2017-08,CVE-2017-9678,05,Qualcomm,EoP,Moderate,Video driver,A-35258962 * QC-CR#2028228,
2017-08,CVE-2017-9691,05,Qualcomm,EoP,Moderate,MobiCore driver (Trustonic),A-33842910 * QC-CR#1116560,
2017-08,CVE-2017-9684,05,Qualcomm,EoP,Moderate,USB driver,A-35136547 * QC-CR#2037524,
2017-08,CVE-2017-9682,05,Qualcomm,ID,Moderate,GPU driver,A-36491445 * QC-CR#2030434,
2017-08,CVE-2017-0744,05,Google device updates,EoP,Low,Sound driver,A-34112726 * N-CVE-2017-0744,
2017-08,CVE-2017-9679,05,Google device updates,ID,Low,SoC driver,A-35644510 * QC-CR#2029409,
2017-08,CVE-2017-9680,05,Google device updates,ID,Low,SoC driver,A-35764241 * QC-CR#2030137,
2017-08,CVE-2017-0748,05,Google device updates,ID,Low,Audio driver,A-35764875 * QC-CR#2029798,
2017-08,CVE-2017-9681,05,Google device updates,ID,Low,Radio driver,A-36386593 * QC-CR#2030426,
2017-08,CVE-2017-9693,05,Google device updates,ID,Low,Networking driver,A-36817798 * QC-CR#2044820,
2017-08,CVE-2017-9694,05,Google device updates,ID,Low,Networking driver,A-36818198 * QC-CR#2045470,
2017-08,CVE-2017-0751,05,Google device updates,EoP,Low,QCE driver,A-36591162 * QC-CR#2045061,
2017-08,CVE-2017-9692,05,Google device updates,DoS,Low,Graphics driver,A-36731152 * QC-CR#2021707,
2017-09,CVE-2017-0752,01,Framework,EoP,High,,A-62196835 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0753,01,Libraries,RCE,High,,A-62218744,"7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-6983,01,Libraries,RCE,High,,A-63852675,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-0755,01,Libraries,EoP,High,,A-32178311,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-0756,01,Media Framework,RCE,Critical,,A-34621073,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0757,01,Media Framework,RCE,Critical,,A-36006815,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0758,01,Media Framework,RCE,Critical,,A-36492741,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0759,01,Media Framework,RCE,Critical,,A-36715268,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0760,01,Media Framework,RCE,Critical,,A-37237396,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0761,01,Media Framework,RCE,Critical,,A-38448381,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-0762,01,Media Framework,RCE,Critical,,A-62214264,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-09,CVE-2017-0763,01,Media Framework,RCE,Critical,,A-62534693,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-0764,01,Media Framework,RCE,Critical,,A-62872015,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
2017-09,CVE-2017-0765,01,Media Framework,RCE,Critical,,A-62872863,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0"
