bulletin_month,cve,tier,section,type,severity,component,references,updated_aosp_versions
2015-08,CVE-2015-1538,?,Integer overflows during MP4 atom processing,,Critical,,,
2015-08,CVE-2015-1539,?,An integer underflow in ESDS processing,,Critical,,,
2015-08,CVE-2015-3824,?,Integer overflow in libstagefright when parsing the MPEG4 tx3g atom,,Critical,,,
2015-08,CVE-2015-3827,?,Integer underflow in libstagefright when processing MPEG4 covr atoms,,Critical,,,
2015-08,CVE-2015-3828,?,Integer underflow in libstagefright if size is below 6 while processing 3GPP metadata,,Critical,,,
2015-08,CVE-2015-3829,?,Integer overflow in libstagefright processing MPEG4 covr atoms when chunk_data_size is SIZE_MAX,,Critical,,,
2015-08,CVE-2015-3836,?,Buffer overflow in Sonivox Parse_wave,,Critical,,,
2015-08,CVE-2015-3832,?,Buffer overflows in libstagefright MPEG4Extractor.cpp,,Critical,,,
2015-08,CVE-2015-3831,?,Buffer overflow in mediaserver BpMediaHTTPConnection,,High,,,
2015-08,CVE-2015-0973,?,Vulnerability in libpng: Overflow in png_Read_IDAT_data,,High,,,
2015-08,CVE-2015-1863,?,Remotely exploitable memcpy() overflow in p2p_add_device() in wpa_supplicant,,High,,,
2015-08,CVE-2015-3837,?,Memory Corruption in OpenSSLX509Certificate Deserialization,,High,,,
2015-08,CVE-2015-3834,?,Buffer overflow in mediaserver BnHDCP,,High,,,
2015-08,CVE-2015-3835,?,Buffer overflow in libstagefright OMXNodeInstance::emptyBuffer,,High,,,
2015-08,CVE-2015-3842,?,Heap overflow in mediaserver AudioPolicyManager::getInputForAttr(),,High,,,
2015-08,CVE-2015-3843,?,Applications can intercept or emulate SIM commands to Telephony,,High,,,
2015-08,CVE-2015-1536,?,Vulnerability in Bitmap unmarshalling,,Moderate,,,
2015-08,CVE-2015-1541,?,AppWidgetServiceImpl can create IntentSender with system privileges,,Moderate,,,
2015-08,CVE-2015-3833,?,Mitigation bypass of restrictions on getRecentTasks(),,Moderate,,,
2015-08,CVE-2015-3844,?,Mitigation bypass of restrictions on getRecentTasks(),,Moderate,,,
2015-08,CVE-2015-3826,?,Unbounded buffer read in libstagefright while parsing 3GPP metadata,,Low,,,
2015-09,CVE-2015-3864,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2015-09,CVE-2015-3636,?,Elevation Privilege Vulnerability in Kernel,,Critical,,,
2015-09,CVE-2015-3845,?,Elevation of Privilege Vulnerability in Binder,,High,,,
2015-09,CVE-2015-1528,?,Elevation of Privilege Vulnerability in Binder,,High,,,
2015-09,CVE-2015-3863,?,Elevation of Privilege Vulnerability in Keystore,,High,,,
2015-09,CVE-2015-3849,?,Elevation of Privilege Vulnerability in Region,,High,,,
2015-09,CVE-2015-3858,?,Elevation of Privilege vulnerability in SMS enables notification bypass,,High,,,
2015-09,CVE-2015-3860,?,Elevation of Privilege Vulnerability in Lockscreen,,Moderate,,,
2015-09,CVE-2015-3861,?,Denial of Service Vulnerability in Mediaserver,,Low,,,
2015-10,CVE-2015-3873,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3823,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6600,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6601,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3869,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3870,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3871,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3868,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6604,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3867,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6603,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3876,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6598,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3872,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-6599,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
2015-10,CVE-2015-3874,?,Remote Code Execution Vulnerabilities in Sonivox,,Critical,,,
2015-10,CVE-2015-3875,?,Remote Code Execution Vulnerabilities in libutils,,Critical,,,
2015-10,CVE-2015-6602,?,Remote Code Execution Vulnerabilities in libutils,,Critical,,,
2015-10,CVE-2015-3877,?,Remote Code Execution Vulnerability in Skia,,Critical,,,
2015-10,CVE-2014-9028,?,Remote Code Execution Vulnerabilities in libFLAC,,Critical,,,
2015-10,CVE-2015-3863,?,Elevation of Privilege Vulnerability in KeyStore,,High,,,
2015-10,CVE-2015-3879,?,Elevation of Privilege Vulnerability in Media Player Framework,,High,,,
2015-10,CVE-2015-3865,?,Elevation of Privilege Vulnerability in Android Runtime,,High,,,
2015-10,CVE-2015-6596,?,Elevation of Privilege Vulnerabilities in Mediaserver,,High,,,
2015-10,CVE-2015-6606,?,Elevation of Privilege Vulnerability in Secure Element Evaluation Kit,,High,,,
2015-10,CVE-2015-3878,?,Elevation of Privilege Vulnerability in Media Projection,,Moderate,,,
2015-10,CVE-2015-3847,?,Elevation of Privilege Vulnerability in Bluetooth,,Moderate,,,
2015-10,CVE-2015-6607,?,Elevation of Privilege Vulnerabilities in SQLite,,Moderate,,,
2015-10,CVE-2015-6605,?,Denial of Service Vulnerabilities in Mediaserver,,Low,,,
2015-10,CVE-2015-3862,?,Denial of Service Vulnerabilities in Mediaserver,,Low,,,
2015-11,CVE-2015-6608,?,Remote Code Execution Vulnerabilities in Mediaserver,,Critical,,,
2015-11,CVE-2015-6609,?,Remote Code Execution Vulnerability in libutils,,Critical,,,
2015-11,CVE-2015-6611,?,Information Disclosure Vulnerabilities in Mediaserver,,High,,,
2015-11,CVE-2015-6610,?,Elevation of Privilege Vulnerability in libstagefright,,High,,,
2015-11,CVE-2015-6612,?,Elevation of Privilege Vulnerability in libmedia,,High,,,
2015-11,CVE-2015-6613,?,Elevation of Privilege Vulnerability in Bluetooth,,High,,,
2015-11,CVE-2015-6614,?,Elevation Of Privilege Vulnerability in Telephony,,Moderate,,,
2015-12,CVE-2015-6616,?,Remote Code Execution Vulnerabilities in Mediaserver,,Critical,,,
2015-12,CVE-2015-6617,?,Remote Code Execution Vulnerability in Skia,,Critical,,,
2015-12,CVE-2015-6619,?,Elevation of Privilege in Kernel,,Critical,,,
2015-12,CVE-2015-6633,?,Remote Code Execution Vulnerabilities in Display Driver,,Critical,,,
2015-12,CVE-2015-6634,?,Remote Code Execution Vulnerabilities in Display Driver,,Critical,,,
2015-12,CVE-2015-6618,?,Remote Code Execution Vulnerability in Bluetooth,,High,,,
2015-12,CVE-2015-6620,?,Elevation of Privilege Vulnerabilities in libstagefright,,High,,,
2015-12,CVE-2015-6621,?,Elevation of Privilege Vulnerability in SystemUI,,High,,,
2015-12,CVE-2015-6622,?,Information Disclosure Vulnerability in Native Frameworks Library,,High,,,
2015-12,CVE-2015-6623,?,Elevation of Privilege Vulnerability in Wi-Fi,,High,,,
2015-12,CVE-2015-6624,?,Elevation of Privilege Vulnerability in System Server,,High,,,
2015-12,CVE-2015-6632,?,Information Disclosure Vulnerabilities in libstagefright,,High,,,
2015-12,CVE-2015-6626,?,Information Disclosure Vulnerabilities in libstagefright,,High,,,
2015-12,CVE-2015-6631,?,Information Disclosure Vulnerabilities in libstagefright,,High,,,
2015-12,CVE-2015-6627,?,Information Disclosure Vulnerability in Audio,,High,,,
2015-12,CVE-2015-6628,?,Information Disclosure Vulnerability in Media Framework,,High,,,
2015-12,CVE-2015-6629,?,Information Disclosure Vulnerability in Wi-Fi,,High,,,
2015-12,CVE-2015-6625,?,Elevation of Privilege Vulnerability in System Server,,Moderate,,,
2015-12,CVE-2015-6630,?,Information Disclosure Vulnerability in SystemUI,,Moderate,,,
2016-01,CVE-2015-6636,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2016-01,CVE-2015-6637,?,Elevation of Privilege Vulnerability in misc-sd driver,,Critical,,,
2016-01,CVE-2015-6638,?,Imagination,,Critical,,,
2016-01,CVE-2015-6639,?,Elevation of Privilege Vulnerabilities in Trustzone,,Critical,,,
2016-01,CVE-2015-6647,?,Elevation of Privilege Vulnerabilities in Trustzone,,Critical,,,
2016-01,CVE-2015-6640,?,Elevation of Privilege Vulnerability in Kernel,,Critical,,,
2016-01,CVE-2015-6641,?,Elevation of Privilege Vulnerability in Bluetooth,,High,,,
2016-01,CVE-2015-6642,?,Information Disclosure Vulnerability in Kernel,,High,,,
2016-01,CVE-2015-6643,?,Elevation of Privilege Vulnerability in Setup Wizard,,Moderate,,,
2016-01,CVE-2015-5310,?,Elevation of Privilege Vulnerability in Wi-Fi,,Moderate,,,
2016-01,CVE-2015-6644,?,Information Disclosure Vulnerability in Bouncy Castle,,Moderate,,,
2016-01,CVE-2015-6645,?,Denial of Service Vulnerability in SyncManager,,Moderate,,,
2016-01,CVE-2015-6646,?,Attack Surface Reduction for Nexus Kernels,,Moderate,,,
2016-02,CVE-2016-0801,?,Broadcom,,Critical,,,
2016-02,CVE-2016-0802,?,Broadcom,,Critical,,,
2016-02,CVE-2016-0803,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2016-02,CVE-2016-0804,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2016-02,CVE-2016-0805,?,Qualcomm,,Critical,,,
2016-02,CVE-2016-0806,?,Qualcomm,,Critical,,,
2016-02,CVE-2016-0807,?,Elevation of Privilege Vulnerability in the Debuggerd,,Critical,,,
2016-02,CVE-2016-0808,?,Denial of Service Vulnerability in Minikin,,High,,,
2016-02,CVE-2016-0809,?,Elevation of Privilege Vulnerability in Wi-Fi,,High,,,
2016-02,CVE-2016-0810,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,
2016-02,CVE-2016-0811,?,Information Disclosure Vulnerability in libmediaplayerservice,,High,,,
2016-02,CVE-2016-0812,?,Elevation of Privilege Vulnerability in Setup Wizard,,Moderate,,,
2016-02,CVE-2016-0813,?,Elevation of Privilege Vulnerability in Setup Wizard,,Moderate,,,
2016-03,CVE-2016-0815,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2016-03,CVE-2016-0816,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2016-03,CVE-2016-1621,?,Remote Code Execution Vulnerabilities in libvpx,,Critical,,,
2016-03,CVE-2016-0818,?,Elevation of Privilege in Conscrypt,,Critical,,,
2016-03,CVE-2016-0819,?,Qualcomm,,Critical,,,
2016-03,CVE-2016-0820,?,MediaTek,,Critical,,,
2016-03,CVE-2016-0728,?,Elevation of Privilege Vulnerability in Kernel Keyring Component,,Critical,,,
2016-03,CVE-2016-0821,?,Mitigation Bypass Vulnerability in the Kernel,,High,,,
2016-03,CVE-2016-0822,?,MediaTek,,High,,,
2016-03,CVE-2016-0823,?,Information Disclosure Vulnerability in Kernel,,High,,,
2016-03,CVE-2016-0824,?,Information Disclosure Vulnerability in libstagefright,,High,,,
2016-03,CVE-2016-0825,?,Information Disclosure Vulnerability in Widevine,,High,,,
2016-03,CVE-2016-0826,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,
2016-03,CVE-2016-0827,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,
2016-03,CVE-2016-0828,?,Information Disclosure Vulnerability in Mediaserver,,High,,,
2016-03,CVE-2016-0829,?,Information Disclosure Vulnerability in Mediaserver,,High,,,
2016-03,CVE-2016-0830,?,Remote Denial of Service Vulnerability in Bluetooth,,High,,,
2016-03,CVE-2016-0831,?,Information Disclosure Vulnerability in Telephony,,Moderate,,,
2016-03,CVE-2016-0832,?,Elevation of Privilege Vulnerability in Setup Wizard,,Moderate,,,
2016-05,CVE-2016-2428,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2429,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2430,?,Elevation of Privilege Vulnerability in Debuggerd,,Critical,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2431,?,Qualcomm,,Critical,,,
2016-05,CVE-2016-2432,?,Qualcomm,,Critical,,,
2016-05,CVE-2015-0569,?,Qualcomm,,Critical,,,
2016-05,CVE-2015-0570,?,Qualcomm,,Critical,,,
2016-05,CVE-2016-2434,?,NVIDIA,,Critical,,,
2016-05,CVE-2016-2435,?,NVIDIA,,Critical,,,
2016-05,CVE-2016-2436,?,NVIDIA,,Critical,,,
2016-05,CVE-2016-2437,?,NVIDIA,,Critical,,,
2016-05,CVE-2015-1805,?,Elevation of Privilege Vulnerability in Kernel,,Critical,,,
2016-05,CVE-2016-2438,?,Remote Code Execution Vulnerability in Kernel,,High,,,
2016-05,CVE-2016-2060,?,Qualcomm,,High,,,
2016-05,CVE-2016-2439,?,Remote Code Execution Vulnerability in Bluetooth,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2440,?,Elevation of Privilege Vulnerability in Binder,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2441,?,Qualcomm,,High,,,
2016-05,CVE-2016-2442,?,Qualcomm,,High,,,
2016-05,CVE-2016-2443,?,Qualcomm,,High,,,
2016-05,CVE-2015-0571,?,Qualcomm,,High,,,
2016-05,CVE-2016-2444,?,NVIDIA,,High,,,
2016-05,CVE-2016-2445,?,NVIDIA,,High,,,
2016-05,CVE-2016-2446,?,NVIDIA,,High,,,
2016-05,CVE-2016-4477,?,Elevation of Privilege Vulnerability in Wi-Fi,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2448,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2449,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2450,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2451,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2452,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2453,?,MediaTek,,High,,,
2016-05,CVE-2016-2454,?,Qualcomm,,High,,,
2016-05,CVE-2016-2461,?,Elevation of Privilege Vulnerability in Conscrypt,,Moderate,,,"6.0, 6.0.1"
2016-05,CVE-2016-2462,?,Elevation of Privilege Vulnerability in Conscrypt,,Moderate,,,"6.0, 6.0.1"
2016-05,CVE-2016-0705,?,Elevation of Privilege Vulnerability in OpenSSL &amp; BoringSSL,,Moderate,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2456,?,MediaTek,,Moderate,,,
2016-05,CVE-2016-2457,?,Elevation of Privilege Vulnerability in Wi-Fi,,Moderate,,,"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2458,?,Information Disclosure Vulnerability in AOSP Mail,,Moderate,,,"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2459,?,Information Disclosure Vulnerability in Mediaserver,,Moderate,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-2460,?,Information Disclosure Vulnerability in Mediaserver,,Moderate,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-05,CVE-2016-0774,?,Denial of Service Vulnerability in Kernel,,Low,,,
2016-06,CVE-2016-2463,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2464,?,Remote Code Execution Vulnerabilities in libwebm,,Critical,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2465,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2466,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2467,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2468,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2062,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2474,?,Qualcomm,,Critical,,,
2016-06,CVE-2016-2475,?,Broadcom,,High,,,
2016-06,CVE-2016-2066,?,Qualcomm,,High,,,
2016-06,CVE-2016-2469,?,Qualcomm,,High,,,
2016-06,CVE-2016-2476,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2477,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2478,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2479,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2480,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2481,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2482,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2483,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2484,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2485,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2486,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2487,?,Elevation of Privilege Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2061,?,Qualcomm,,High,,,
2016-06,CVE-2016-2488,?,Qualcomm,,High,,,
2016-06,CVE-2016-2489,?,Qualcomm,,High,,,
2016-06,CVE-2016-2490,?,NVIDIA,,High,,,
2016-06,CVE-2016-2491,?,NVIDIA,,High,,,
2016-06,CVE-2016-2470,?,Qualcomm,,High,,,
2016-06,CVE-2016-2471,?,Qualcomm,,High,,,
2016-06,CVE-2016-2472,?,Qualcomm,,High,,,
2016-06,CVE-2016-2473,?,Qualcomm,,High,,,
2016-06,CVE-2016-2492,?,MediaTek,,High,,,
2016-06,CVE-2016-2494,?,Elevation of Privilege Vulnerability in SD Card Emulation Layer,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2493,?,Broadcom,,High,,,
2016-06,CVE-2016-2495,?,Remote Denial of Service Vulnerability in Mediaserver,,High,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2496,?,Elevation of Privilege Vulnerability in Framework UI,,Moderate,,,"6.0, 6.1"
2016-06,CVE-2016-2498,?,Qualcomm,,Moderate,,,
2016-06,CVE-2016-2499,?,Information Disclosure Vulnerability in Mediaserver,,Moderate,,,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-06,CVE-2016-2500,?,Information Disclosure Vulnerability in Activity Manager,,Moderate,,,"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-2506,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28175045,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-2505,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28333006,"6.0, 6.0.1"
2016-07,CVE-2016-2507,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28532266,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-2508,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28799341 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3741,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28165661 [ 2 ],"6.0, 6.0.1"
2016-07,CVE-2016-3742,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-28165659,"6.0, 6.0.1"
2016-07,CVE-2016-3743,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-27907656,"6.0, 6.0.1"
2016-07,CVE-2016-2108,01,Remote code execution vulnerability in OpenSSL &amp; BoringSSL,,Critical,,A-28175332,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3744,01,Remote code execution vulnerability in Bluetooth,,High,,A-27930580,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3751,01,Elevation of privilege vulnerability in libpng,,High,,A-23265085,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3745,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-28173666,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3746,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-27890802,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3747,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-27903498,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3748,01,Elevation of privilege vulnerability in sockets,,High,,A-28171804,"6.0, 6.0.1"
2016-07,CVE-2016-3749,01,Elevation of privilege vulnerability in LockSettingsService,,High,,A-28163930,"6.0, 6.0.1"
2016-07,CVE-2016-3750,01,Elevation of privilege vulnerability in Framework APIs,,High,,A-28395952,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3752,01,Elevation of privilege vulnerability in ChooserTarget service,,High,,A-28384423,"6.0, 6.0.1"
2016-07,CVE-2016-3753,01,Information disclosure vulnerability in Mediaserver,,High,,A-27210135,4.4.4
2016-07,CVE-2016-2107,01,Information disclosure vulnerability in OpenSSL,,High,,A-28550804,"4.4.4, 5.0.2, 5.1.1"
2016-07,CVE-2016-3754,01,Denial of service vulnerability in Mediaserver,,High,,A-28615448 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3755,01,Denial of service vulnerability in Mediaserver,,High,,A-28470138,"6.0, 6.0.1"
2016-07,CVE-2016-3756,01,Denial of service vulnerability in Mediaserver,,High,,A-28556125,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3818,01,Denial of service vulnerability in libc,,High,,A-28740702 [ 2 ],4.4.4
2016-07,CVE-2016-3757,01,Elevation of privilege vulnerability in lsof,,Moderate,,A-28175237,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3758,01,Elevation of privilege vulnerability in DexClassLoader,,Moderate,,A-27840771,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3759,01,Elevation of privilege vulnerability in Framework APIs,,Moderate,,A-28406080,"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3760,01,Elevation of privilege vulnerability in Bluetooth,,Moderate,,A-27410683 [ 2 ] [ 3 ],"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3761,01,Elevation of privilege vulnerability in NFC,,Moderate,,A-28300969,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3762,01,Elevation of privilege vulnerability in sockets,,Moderate,,A-28612709,"5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3763,01,Information disclosure vulnerability in Proxy Auto-Config,,Moderate,,A-27593919,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3764,01,Information disclosure vulnerability in Mediaserver,,Moderate,,A-28377502,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-3765,01,Information disclosure vulnerability in Mediaserver,,Moderate,,A-28168413,"6.0, 6.0.1"
2016-07,CVE-2016-3766,01,Denial of service vulnerability in Mediaserver,,Moderate,,A-28471206 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1"
2016-07,CVE-2016-2503,05,Qualcomm,,Critical,,A-28084795* QC-CR1006067,
2016-07,CVE-2016-2067,05,Qualcomm,,Critical,,A-28305757 QC-CR988993,
2016-07,CVE-2016-3767,05,MediaTek,,Critical,,A-28169363* M-ALPS02689526,
2016-07,CVE-2016-3768,05,Qualcomm,,Critical,,A-28172137* QC-CR1010644,
2016-07,CVE-2016-3769,05,NVIDIA,,Critical,,A-28376656* N-CVE20163769,
2016-07,CVE-2016-3770,05,MediaTek,,Critical,,A-28346752* M-ALPS02703102,
2016-07,CVE-2016-3771,05,MediaTek,,Critical,,A-29007611* M-ALPS02703102,
2016-07,CVE-2016-3772,05,MediaTek,,Critical,,A-29008188* M-ALPS02703102,
2016-07,CVE-2016-3773,05,MediaTek,,Critical,,A-29008363* M-ALPS02703102,
2016-07,CVE-2016-3774,05,MediaTek,,Critical,,A-29008609* M-ALPS02703102,
2016-07,CVE-2016-3775,05,Elevation of privilege vulnerability in kernel file system,,Critical,,A-28588279*,
2016-07,CVE-2015-8816,05,Elevation of privilege vulnerability in USB driver,,Critical,,A-28712303*,
2016-07,CVE-2014-9795,05,Qualcomm,,,,A-28820720 QC-CR681957 [ 2 ],
2016-07,CVE-2014-9794,05,Qualcomm,,,,A-28821172 QC-CR646385,
2016-07,CVE-2015-8892,05,Qualcomm,,,,A-28822807 QC-CR902998,
2016-07,CVE-2014-9781,05,Qualcomm,,,,A-28410333 QC-CR556471,
2016-07,CVE-2014-9786,05,Qualcomm,,,,A-28557260 QC-CR545979,
2016-07,CVE-2014-9788,05,Qualcomm,,,,A-28573112 QC-CR548872,
2016-07,CVE-2014-9779,05,Qualcomm,,,,A-28598347 QC-CR548679,
2016-07,CVE-2014-9780,05,Qualcomm,,,,A-28602014 QC-CR542222,
2016-07,CVE-2014-9789,05,Qualcomm,,,,A-28749392 QC-CR556425,
2016-07,CVE-2014-9793,05,Qualcomm,,,,A-28821253 QC-CR580567,
2016-07,CVE-2014-9782,05,Qualcomm,,,,A-28431531 QC-CR511349,
2016-07,CVE-2014-9783,05,Qualcomm,,,,A-28441831 QC-CR511382 [ 2 ],
2016-07,CVE-2014-9785,05,Qualcomm,,,,A-28469042 QC-CR545747,
2016-07,CVE-2014-9787,05,Qualcomm,,,,A-28571496 QC-CR545764,
2016-07,CVE-2014-9784,05,Qualcomm,,,,A-28442449 QC-CR585147,
